PO Number,PO Date,Product,Quantity,Due Date
1322,2022-01-20,Grapes,57,2022-03-31
3505,2022-10-16,Banana,86,2022-12-07
6225,2022-07-28,Banana,72,2022-09-29
8788,2022-05-16,Grapes,98,2022-07-30
2879,2022-03-17,Orange,91,2022-06-06
4307,2022-06-20,Apple,80,2022-09-22
7622,2022-06-14,Banana,50,2022-09-12
8603,2022-02-25,Orange,55,2022-05-01
2576,2022-07-20,Apple,59,2022-10-05
6052,2022-11-10,Orange,62,2023-01-31
4267,2022-11-19,Orange,71,2023-02-12
2700,2022-07-04,Orange,73,2022-09-20
2248,2022-04-08,Banana,86,2022-06-01
5110,2022-03-25,Apple,78,2022-06-28
7269,2022-09-14,Grapes,51,2022-12-10
6058,2022-08-17,Banana,65,2022-10-21
3876,2022-01-15,Grapes,89,2022-04-14
7273,2022-06-20,Grapes,76,2022-08-27
6439,2022-10-10,Grapes,98,2023-01-16
6691,2022-07-14,Grapes,57,2022-09-05
6145,2022-06-28,Grapes,91,2022-10-06
2459,2022-12-09,Apple,79,2023-02-05
5984,2022-04-24,Banana,88,2022-07-15
2011,2022-08-20,Banana,54,2022-11-25
7567,2022-11-09,Banana,85,2023-02-11
1180,2022-12-12,Grapes,77,2023-02-15
3648,2022-08-12,Apple,65,2022-10-28
1793,2022-12-06,Orange,78,2023-02-12
4624,2022-06-09,Orange,56,2022-08-10
3342,2022-12-24,Orange,66,2023-03-23
1836,2022-04-26,Grapes,87,2022-07-18
3621,2022-10-20,Banana,81,2022-12-10
8703,2022-07-21,Grapes,66,2022-09-19
5852,2022-03-27,Grapes,89,2022-06-04
7325,2022-05-18,Orange,91,2022-08-09
1986,2022-05-12,Orange,89,2022-07-25
2042,2022-07-21,Orange,96,2022-10-08
9033,2022-12-11,Grapes,93,2023-03-11
7478,2022-09-24,Apple,71,2022-12-17
3970,2022-09-19,Banana,50,2022-11-21
1806,2022-07-23,Grapes,85,2022-10-08
6697,2022-11-26,Orange,76,2023-01-30
1840,2022-09-10,Banana,88,2022-11-30
3942,2022-01-08,Banana,89,2022-03-04
1674,2022-10-21,Grapes,93,2023-01-11
7967,2022-11-01,Banana,55,2023-02-09
2522,2022-12-21,Orange,97,2023-03-28
8520,2022-12-17,Grapes,92,2023-02-21
9184,2022-08-08,Banana,68,2022-10-07
8558,2022-03-06,Apple,56,2022-05-22
7277,2022-06-17,Apple,99,2022-09-21
1198,2022-11-12,Banana,90,2023-01-06
3924,2022-11-02,Apple,66,2023-01-29
2689,2022-10-09,Grapes,95,2022-12-03
6692,2022-10-06,Apple,65,2022-12-30
5291,2022-04-18,Banana,95,2022-07-18
6193,2022-04-08,Orange,71,2022-07-04
4615,2022-01-10,Grapes,99,2022-03-10
3948,2022-02-28,Grapes,78,2022-05-30
4385,2022-04-07,Apple,71,2022-07-06
8845,2022-09-20,Apple,79,2022-12-29
2816,2022-08-07,Orange,72,2022-10-11
4341,2022-12-17,Orange,93,2023-03-04
5006,2022-05-05,Apple,56,2022-08-05
7855,2022-03-23,Orange,51,2022-06-26
4334,2022-11-10,Orange,61,2022-12-31
2816,2022-07-08,Banana,62,2022-09-16
5644,2022-01-13,Apple,58,2022-03-10
5315,2022-12-21,Orange,75,2023-02-26
8394,2022-04-03,Apple,82,2022-06-24
6627,2022-01-23,Grapes,79,2022-04-29
6111,2022-07-25,Grapes,93,2022-09-13
3124,2022-05-09,Orange,71,2022-07-07
7919,2022-10-14,Banana,97,2022-12-12
8859,2022-11-20,Apple,100,2023-02-25
2826,2022-12-12,Apple,89,2023-02-05
2995,2022-02-22,Apple,90,2022-05-20
6558,2022-09-20,Grapes,54,2022-12-02
8467,2022-04-08,Orange,71,2022-06-25
2870,2022-08-11,Banana,96,2022-10-01
6947,2022-05-11,Apple,70,2022-08-19
1710,2022-10-17,Grapes,75,2023-01-01
7079,2022-06-12,Banana,73,2022-08-12
8544,2022-05-13,Orange,82,2022-07-24
4939,2022-10-04,Grapes,65,2022-11-24
9378,2022-11-03,Grapes,73,2023-01-08
4849,2022-10-03,Orange,100,2023-01-09
5672,2022-08-12,Orange,91,2022-11-04
5993,2022-08-16,Grapes,92,2022-10-26
8368,2022-04-17,Grapes,97,2022-07-12
9825,2022-02-04,Grapes,52,2022-04-23
7973,2022-07-24,Orange,87,2022-10-15
2263,2022-04-11,Banana,55,2022-06-17
6721,2022-07-25,Apple,67,2022-09-16
4609,2022-10-06,Banana,54,2022-11-30
7078,2022-04-21,Banana,55,2022-07-05
4664,2022-03-14,Banana,66,2022-05-29
5613,2022-07-03,Apple,50,2022-09-03
7989,2022-12-10,Banana,65,2023-03-08
1868,2022-04-10,Grapes,96,2022-06-02
8219,2022-02-10,Apple,62,2022-04-21
3668,2022-03-02,Apple,54,2022-05-03
7859,2022-10-20,Grapes,71,2022-12-25
4364,2022-01-09,Grapes,69,2022-04-18
1413,2022-01-11,Grapes,54,2022-03-05
9428,2022-08-20,Orange,82,2022-11-14
2568,2022-08-20,Orange,62,2022-10-10
7475,2022-07-08,Grapes,75,2022-09-06
1036,2022-10-20,Apple,96,2023-01-25
9995,2022-03-09,Apple,99,2022-05-27
5936,2022-07-11,Grapes,90,2022-10-02
8131,2022-10-09,Orange,59,2023-01-12
3574,2022-08-09,Orange,52,2022-09-29
3829,2022-07-25,Grapes,68,2022-10-21
6039,2022-04-18,Grapes,67,2022-07-26
1906,2022-06-13,Grapes,53,2022-09-01
1650,2022-09-13,Grapes,71,2022-11-22
5869,2022-11-02,Grapes,92,2023-01-25
7445,2022-04-04,Grapes,98,2022-06-16
6296,2022-06-22,Grapes,56,2022-09-07
6291,2022-03-22,Banana,82,2022-06-07
6248,2022-03-15,Grapes,53,2022-05-15
8428,2022-08-23,Grapes,99,2022-10-25
7511,2022-08-15,Grapes,83,2022-11-03
9879,2022-07-10,Banana,89,2022-10-09
1256,2022-09-11,Grapes,98,2022-11-05
2942,2022-04-22,Orange,56,2022-06-12
1761,2022-06-25,Orange,77,2022-08-14
9348,2022-12-03,Banana,71,2023-03-03
5444,2022-08-18,Orange,70,2022-10-17
2606,2022-12-12,Orange,58,2023-03-21
5041,2022-09-04,Apple,93,2022-11-04
2937,2022-01-22,Banana,61,2022-04-19
3369,2022-03-25,Banana,56,2022-06-19
6384,2022-02-28,Apple,56,2022-06-05
9201,2022-10-15,Apple,96,2022-12-21
1047,2022-05-13,Orange,82,2022-08-04
7197,2022-04-06,Grapes,88,2022-07-06
4574,2022-10-11,Banana,52,2022-12-20
2174,2022-01-23,Banana,70,2022-03-14
3517,2022-11-21,Orange,70,2023-01-19
5926,2022-10-11,Grapes,60,2022-12-22
6040,2022-12-25,Apple,70,2023-03-10
7591,2022-12-10,Banana,89,2023-03-20
5572,2022-02-15,Grapes,96,2022-05-25
7483,2022-07-17,Banana,53,2022-10-25
2816,2022-02-24,Apple,88,2022-05-08
9410,2022-06-05,Grapes,64,2022-08-24
7612,2022-11-26,Grapes,95,2023-03-06
1394,2022-11-01,Banana,60,2023-01-22
2138,2022-08-10,Apple,97,2022-10-23
3319,2022-04-02,Apple,84,2022-06-09
7797,2022-05-20,Apple,53,2022-07-14
1933,2022-05-18,Grapes,98,2022-08-14
8363,2022-11-11,Banana,81,2023-02-01
9515,2022-08-28,Grapes,85,2022-11-21
7847,2022-06-28,Grapes,100,2022-10-02
1317,2022-04-11,Banana,65,2022-06-21
6412,2022-03-07,Banana,59,2022-04-28
5412,2022-05-24,Grapes,51,2022-07-25
9508,2022-05-24,Apple,54,2022-08-27
6154,2022-02-19,Grapes,93,2022-04-19
6079,2022-10-23,Grapes,88,2022-12-27
1641,2022-01-16,Apple,87,2022-03-15
3273,2022-04-04,Apple,58,2022-06-20
9907,2022-11-12,Orange,58,2023-02-16
2706,2022-05-11,Apple,100,2022-08-09
5822,2022-12-05,Orange,50,2023-02-07
6323,2022-07-09,Apple,83,2022-10-13
8257,2022-03-23,Apple,99,2022-06-22
3615,2022-02-13,Grapes,85,2022-04-18
6772,2022-01-20,Banana,94,2022-03-13
4137,2022-06-14,Apple,85,2022-09-20
3009,2022-12-11,Orange,57,2023-02-27
5766,2022-05-07,Grapes,83,2022-07-07
5589,2022-11-09,Orange,63,2023-01-24
9691,2022-05-19,Apple,98,2022-07-09
4941,2022-10-16,Orange,72,2022-12-05
7202,2022-04-22,Grapes,95,2022-07-12
6965,2022-06-05,Apple,61,2022-09-08
2006,2022-01-27,Apple,56,2022-04-02
1041,2022-01-16,Orange,78,2022-04-08
4384,2022-08-21,Grapes,63,2022-10-19
8825,2022-02-18,Orange,68,2022-04-18
4022,2022-07-07,Orange,92,2022-10-08
5372,2022-10-10,Orange,92,2022-12-22
5456,2022-07-02,Grapes,99,2022-09-28
5122,2022-01-25,Apple,67,2022-05-02
9454,2022-02-03,Apple,58,2022-05-07
6151,2022-06-23,Grapes,79,2022-09-28
2326,2022-09-27,Banana,87,2022-12-18
4677,2022-12-22,Orange,85,2023-02-12
2655,2022-05-15,Grapes,56,2022-07-30
9359,2022-12-06,Apple,64,2023-03-05
8990,2022-02-09,Grapes,50,2022-04-28
6839,2022-09-10,Apple,92,2022-12-03
3509,2022-03-01,Orange,50,2022-05-02
1529,2022-06-22,Grapes,94,2022-08-25
2791,2022-05-12,Orange,90,2022-08-06
5448,2022-09-28,Banana,54,2022-11-21
8016,2022-06-01,Apple,67,2022-08-23
7179,2022-08-11,Orange,87,2022-11-13
8097,2022-06-24,Apple,98,2022-08-29
4188,2022-02-28,Apple,58,2022-04-21
6336,2022-01-23,Banana,83,2022-03-27
5777,2022-01-18,Orange,96,2022-03-28
1013,2022-11-23,Apple,73,2023-02-07
8051,2022-10-24,Banana,71,2022-12-15
1707,2022-01-23,Apple,62,2022-04-25
6495,2022-09-24,Banana,81,2022-12-31
8557,2022-07-25,Banana,76,2022-10-22
5379,2022-06-15,Orange,76,2022-09-03
5094,2022-04-16,Apple,61,2022-07-11
3302,2022-06-23,Grapes,81,2022-08-24
8620,2022-06-16,Apple,97,2022-09-03
9058,2022-03-19,Orange,62,2022-06-08
1352,2022-05-17,Grapes,60,2022-08-14
4957,2022-11-05,Apple,86,2023-02-02
7898,2022-07-08,Apple,67,2022-09-27
4481,2022-09-09,Orange,84,2022-10-30
5199,2022-11-05,Apple,66,2023-01-07
1564,2022-04-07,Apple,94,2022-06-30
9616,2022-03-09,Orange,87,2022-05-23
3772,2022-04-10,Banana,52,2022-06-09
1068,2022-03-03,Apple,96,2022-05-17
4390,2022-09-24,Orange,53,2022-11-21
3038,2022-11-20,Apple,82,2023-02-18
4909,2022-02-12,Grapes,98,2022-04-09
9508,2022-07-03,Orange,85,2022-08-24
9146,2022-12-17,Orange,98,2023-03-12
4615,2022-07-02,Apple,65,2022-09-16
9231,2022-05-20,Apple,61,2022-08-01
4627,2022-01-02,Orange,81,2022-04-03
4122,2022-09-15,Grapes,68,2022-11-15
8676,2022-12-15,Banana,96,2023-02-12
3221,2022-04-15,Orange,51,2022-07-20
1147,2022-01-20,Apple,61,2022-04-07
9021,2022-12-18,Banana,69,2023-03-10
9218,2022-02-12,Banana,77,2022-05-06
7657,2022-03-19,Banana,88,2022-06-22
6516,2022-04-24,Apple,68,2022-07-16
6784,2022-11-05,Banana,94,2023-01-13
5613,2022-09-14,Apple,84,2022-11-29
5396,2022-11-15,Orange,90,2023-02-02
2174,2022-06-02,Apple,80,2022-08-09
1530,2022-02-23,Apple,63,2022-05-06
2948,2022-09-07,Banana,91,2022-12-14
5099,2022-09-10,Grapes,72,2022-12-11
4059,2022-03-25,Orange,65,2022-05-15
2530,2022-12-17,Orange,95,2023-03-11
4667,2022-10-27,Banana,94,2023-01-10
9071,2022-11-14,Banana,83,2023-01-28
7246,2022-04-21,Grapes,78,2022-06-23
7917,2022-04-28,Banana,86,2022-07-13
6497,2022-11-28,Grapes,54,2023-02-15
2221,2022-05-25,Apple,98,2022-08-30
7737,2022-01-12,Grapes,75,2022-04-04
8689,2022-07-20,Apple,66,2022-09-30
6280,2022-01-20,Apple,70,2022-03-29
4139,2022-02-10,Grapes,80,2022-05-14
3640,2022-06-14,Orange,81,2022-08-18
5302,2022-04-13,Orange,72,2022-07-09
9544,2022-02-22,Grapes,59,2022-05-13
7663,2022-08-12,Apple,90,2022-10-18
1528,2022-02-16,Orange,90,2022-05-02
4533,2022-06-11,Apple,93,2022-08-17
9302,2022-10-07,Orange,89,2022-12-06
7916,2022-01-20,Banana,53,2022-04-17
3684,2022-07-14,Banana,86,2022-09-09
9397,2022-06-25,Apple,54,2022-08-20
5762,2022-10-26,Banana,97,2022-12-19
5750,2022-10-09,Grapes,67,2022-12-16
6664,2022-06-14,Banana,83,2022-08-07
8554,2022-05-05,Orange,60,2022-08-12
5912,2022-10-17,Apple,74,2022-12-28
4441,2022-08-11,Apple,71,2022-11-03
3365,2022-01-14,Grapes,66,2022-04-02
7485,2022-08-18,Grapes,68,2022-10-07
7472,2022-04-27,Banana,94,2022-07-27
9705,2022-08-06,Banana,83,2022-09-27
6270,2022-03-10,Apple,77,2022-06-15
6074,2022-10-17,Orange,66,2023-01-25
8269,2022-10-13,Grapes,100,2023-01-16
4132,2022-09-03,Banana,96,2022-11-27
3845,2022-06-06,Grapes,57,2022-08-23
4364,2022-09-01,Grapes,57,2022-11-17
5804,2022-03-13,Apple,52,2022-06-14
9449,2022-04-15,Orange,65,2022-06-09
7036,2022-12-14,Banana,97,2023-02-28
7677,2022-01-03,Orange,79,2022-04-08
4393,2022-02-22,Orange,54,2022-05-14
6528,2022-10-03,Banana,63,2022-12-07
4505,2022-05-06,Grapes,74,2022-08-04
9815,2022-05-16,Apple,61,2022-08-16
3229,2022-10-11,Orange,89,2022-12-24
2547,2022-11-11,Grapes,72,2023-01-19
9296,2022-08-01,Banana,83,2022-10-10
8716,2022-03-06,Apple,89,2022-05-07
3479,2022-05-03,Grapes,82,2022-06-25
7863,2022-08-04,Apple,57,2022-10-22
2386,2022-04-15,Orange,94,2022-06-18
2997,2022-12-13,Banana,91,2023-02-22
6358,2022-01-25,Orange,92,2022-04-08
8356,2022-07-04,Grapes,58,2022-09-01
5761,2022-09-27,Grapes,90,2022-12-31
2542,2022-07-24,Banana,58,2022-10-12
7403,2022-04-08,Orange,68,2022-07-07
9332,2022-05-13,Grapes,89,2022-07-29
8544,2022-03-28,Orange,63,2022-06-18
5481,2022-07-23,Banana,87,2022-10-28
2526,2022-06-10,Grapes,81,2022-08-27
9091,2022-08-11,Apple,71,2022-10-28
2100,2022-01-26,Grapes,53,2022-03-18
7721,2022-02-04,Banana,68,2022-05-10
7391,2022-05-03,Apple,72,2022-06-24
5031,2022-02-12,Apple,80,2022-04-04
3447,2022-12-16,Grapes,56,2023-02-21
6712,2022-06-26,Orange,80,2022-08-15
1716,2022-01-28,Grapes,73,2022-03-31
4400,2022-07-06,Grapes,99,2022-09-18
5758,2022-11-09,Grapes,75,2023-02-14
1018,2022-10-19,Orange,93,2023-01-14
9059,2022-03-14,Orange,59,2022-05-16
1471,2022-01-28,Orange,87,2022-04-23
9656,2022-03-01,Orange,62,2022-05-05
1157,2022-01-03,Orange,66,2022-02-25
5953,2022-10-10,Banana,91,2022-12-04
2808,2022-06-19,Banana,79,2022-09-01
4455,2022-03-14,Orange,84,2022-06-19
8995,2022-06-12,Banana,55,2022-09-05
4307,2022-12-09,Banana,100,2023-02-12
6073,2022-02-25,Banana,53,2022-05-14
3413,2022-09-22,Grapes,76,2022-12-24
7733,2022-11-04,Orange,95,2023-02-03
7931,2022-01-10,Grapes,70,2022-04-19
9517,2022-06-12,Orange,60,2022-08-06
2376,2022-02-09,Apple,92,2022-04-17
7806,2022-04-13,Grapes,79,2022-06-23
7686,2022-05-08,Grapes,58,2022-07-02
9626,2022-12-15,Apple,53,2023-03-20
5620,2022-03-01,Grapes,71,2022-05-03
1428,2022-11-25,Orange,90,2023-01-17
1319,2022-04-20,Apple,79,2022-07-17
6568,2022-04-22,Banana,74,2022-07-01
7879,2022-11-09,Grapes,84,2023-02-16
9960,2022-09-12,Grapes,96,2022-11-11
3174,2022-04-04,Apple,95,2022-07-08
5301,2022-04-06,Orange,71,2022-07-07
6168,2022-08-04,Banana,71,2022-10-09
4641,2022-10-20,Orange,61,2022-12-29
5971,2022-09-06,Apple,54,2022-12-03
6508,2022-04-10,Apple,60,2022-06-09
7076,2022-05-23,Orange,54,2022-07-30
2210,2022-10-25,Orange,94,2023-01-05
8326,2022-05-27,Banana,88,2022-09-03
5566,2022-03-23,Grapes,79,2022-06-07
6096,2022-08-26,Apple,51,2022-10-23
8859,2022-01-22,Orange,56,2022-04-27
5090,2022-10-09,Banana,60,2023-01-17
9664,2022-04-27,Orange,95,2022-07-19
8977,2022-02-18,Orange,52,2022-05-04
1527,2022-07-01,Grapes,100,2022-08-26
9288,2022-04-11,Apple,82,2022-06-06
8392,2022-06-10,Banana,75,2022-08-19
4022,2022-05-11,Banana,62,2022-08-10
7025,2022-12-25,Apple,54,2023-03-09
7332,2022-06-26,Orange,83,2022-09-04
5761,2022-11-18,Grapes,68,2023-02-07
9832,2022-10-02,Apple,85,2022-12-29
8641,2022-10-09,Orange,71,2022-12-19
6652,2022-04-02,Apple,63,2022-06-05
3880,2022-08-14,Grapes,92,2022-10-03
2737,2022-08-03,Banana,73,2022-10-30
6601,2022-08-20,Banana,53,2022-11-13
8626,2022-07-09,Apple,90,2022-10-04
9307,2022-06-21,Banana,59,2022-09-19
8936,2022-03-01,Banana,65,2022-05-03
7648,2022-05-17,Grapes,58,2022-07-25
2727,2022-11-11,Grapes,72,2023-02-08
7857,2022-09-03,Banana,57,2022-11-20
4955,2022-12-05,Orange,71,2023-03-02
9324,2022-09-18,Orange,73,2022-12-13
9360,2022-07-23,Apple,57,2022-10-30
3609,2022-08-11,Banana,51,2022-10-26
8732,2022-09-09,Banana,53,2022-12-13
2490,2022-11-18,Grapes,64,2023-01-17
7108,2022-07-27,Grapes,58,2022-09-28
5623,2022-04-28,Banana,96,2022-08-01
7950,2022-04-21,Banana,83,2022-07-26
7046,2022-09-05,Apple,94,2022-11-22
1097,2022-10-27,Apple,95,2023-01-14
7879,2022-08-09,Orange,93,2022-10-05
6444,2022-11-22,Grapes,59,2023-01-29
5872,2022-08-02,Apple,80,2022-10-18
1791,2022-05-10,Orange,74,2022-07-03
1053,2022-12-05,Orange,75,2023-02-04
9109,2022-02-09,Grapes,55,2022-04-14
1053,2022-10-17,Apple,89,2022-12-18
4071,2022-04-01,Grapes,95,2022-06-18
4700,2022-08-20,Orange,96,2022-11-07
4877,2022-09-18,Banana,99,2022-12-16
2836,2022-03-16,Banana,78,2022-06-19
1411,2022-09-22,Apple,63,2022-12-25
5435,2022-04-10,Banana,65,2022-07-10
6889,2022-02-21,Orange,91,2022-05-17
5248,2022-07-09,Grapes,67,2022-09-04
1982,2022-10-22,Apple,89,2023-01-17
7920,2022-02-20,Apple,98,2022-04-15
5683,2022-03-05,Apple,58,2022-06-11
8781,2022-02-12,Grapes,62,2022-04-27
4577,2022-10-17,Grapes,92,2023-01-12
2269,2022-08-08,Banana,69,2022-11-10
4542,2022-04-23,Orange,62,2022-08-01
8207,2022-05-24,Grapes,99,2022-08-18
8436,2022-06-18,Banana,97,2022-09-25
6816,2022-05-25,Grapes,89,2022-08-27
9377,2022-11-17,Orange,74,2023-01-16
1306,2022-04-20,Grapes,79,2022-07-22
6115,2022-08-18,Grapes,62,2022-11-03
8406,2022-07-20,Banana,59,2022-09-10
7778,2022-09-03,Apple,54,2022-12-11
4935,2022-05-11,Orange,54,2022-08-17
3973,2022-08-04,Grapes,53,2022-11-11
8287,2022-02-17,Apple,91,2022-05-22
5029,2022-08-28,Orange,71,2022-10-20
8547,2022-06-19,Apple,70,2022-09-14
8406,2022-06-19,Apple,91,2022-09-11
4315,2022-02-12,Apple,88,2022-05-04
5972,2022-09-20,Apple,85,2022-12-14
4739,2022-12-22,Orange,52,2023-03-07
5373,2022-10-22,Apple,90,2022-12-19
4620,2022-06-14,Apple,74,2022-09-14
2529,2022-03-22,Grapes,71,2022-06-10
4309,2022-01-10,Grapes,66,2022-03-10
2731,2022-09-02,Banana,91,2022-11-29
8256,2022-09-06,Grapes,83,2022-11-14
8233,2022-06-26,Banana,68,2022-08-19
2527,2022-04-19,Grapes,96,2022-07-19
8785,2022-03-05,Grapes,66,2022-06-11
9600,2022-05-16,Apple,51,2022-08-15
1346,2022-04-22,Banana,76,2022-06-14
6212,2022-05-12,Apple,89,2022-07-19
7361,2022-01-19,Apple,62,2022-03-26
5131,2022-05-19,Apple,94,2022-08-05
2851,2022-07-26,Grapes,98,2022-10-21
6362,2022-11-10,Orange,80,2023-01-10
9761,2022-11-28,Apple,67,2023-02-13
1798,2022-01-16,Apple,92,2022-03-09
9697,2022-02-24,Apple,90,2022-05-20
1880,2022-10-03,Banana,79,2022-12-28
3932,2022-02-24,Banana,92,2022-05-14
5415,2022-07-20,Apple,64,2022-09-10
5906,2022-09-10,Orange,77,2022-11-08
3049,2022-12-26,Orange,96,2023-02-24
2107,2022-03-11,Orange,76,2022-06-14
7302,2022-05-03,Banana,73,2022-07-06
1338,2022-11-06,Orange,85,2023-02-05
4608,2022-05-23,Apple,85,2022-07-24
3390,2022-04-16,Orange,84,2022-06-29
5865,2022-08-27,Grapes,98,2022-10-24
5672,2022-01-27,Orange,97,2022-04-12
5031,2022-02-27,Banana,66,2022-04-20
8835,2022-04-02,Orange,64,2022-06-01
4019,2022-10-24,Apple,88,2022-12-27
8586,2022-03-26,Banana,86,2022-05-17
3584,2022-08-11,Grapes,95,2022-10-25
8888,2022-11-21,Banana,54,2023-02-17
1966,2022-12-07,Banana,88,2023-03-01
1348,2022-11-01,Apple,84,2023-02-01
7635,2022-01-24,Banana,66,2022-03-25
6801,2022-07-16,Banana,99,2022-10-03
4842,2022-03-20,Banana,94,2022-05-14
8577,2022-08-17,Apple,50,2022-11-17
7273,2022-01-25,Grapes,91,2022-04-15
5703,2022-09-14,Banana,94,2022-11-13
4562,2022-10-05,Banana,91,2022-11-29
4187,2022-03-21,Apple,89,2022-06-12
4370,2022-09-20,Banana,94,2022-12-14
5601,2022-01-23,Grapes,58,2022-03-30
8528,2022-08-28,Orange,62,2022-12-02
9350,2022-09-28,Grapes,85,2022-12-20
9353,2022-11-10,Grapes,66,2023-02-11
9204,2022-09-11,Grapes,68,2022-12-07
1841,2022-01-10,Grapes,55,2022-04-06
6391,2022-11-18,Grapes,87,2023-01-13
4753,2022-10-09,Banana,77,2022-12-29
1402,2022-09-02,Banana,57,2022-10-24
6384,2022-06-02,Apple,100,2022-08-03
6628,2022-08-14,Apple,50,2022-11-21
9203,2022-10-18,Orange,62,2023-01-17
8768,2022-11-08,Grapes,80,2023-01-12
1416,2022-03-07,Banana,64,2022-05-22
2049,2022-08-22,Grapes,92,2022-11-18
9323,2022-01-23,Orange,63,2022-03-30
3678,2022-02-14,Orange,87,2022-05-07
9517,2022-01-17,Apple,79,2022-03-28
7261,2022-11-13,Orange,84,2023-01-25
4589,2022-06-10,Banana,88,2022-08-31
4934,2022-11-21,Banana,79,2023-02-03
9221,2022-09-03,Banana,53,2022-12-09
3862,2022-07-07,Apple,97,2022-10-03
9819,2022-01-19,Orange,79,2022-03-25
5842,2022-11-08,Apple,63,2023-02-16
5087,2022-05-03,Grapes,83,2022-07-24
4021,2022-05-18,Grapes,89,2022-07-31
5161,2022-12-28,Banana,53,2023-03-23
3350,2022-06-16,Grapes,57,2022-08-10
8822,2022-10-15,Banana,73,2023-01-01
8157,2022-11-03,Grapes,99,2023-01-01
4701,2022-06-26,Apple,98,2022-09-29
3013,2022-12-03,Orange,81,2023-02-23
8856,2022-01-12,Banana,98,2022-03-03
8158,2022-06-03,Banana,99,2022-08-14
1735,2022-03-06,Apple,65,2022-05-07
6704,2022-06-18,Orange,95,2022-09-10
8352,2022-08-05,Grapes,97,2022-10-13
6710,2022-03-24,Grapes,73,2022-06-18
1996,2022-05-12,Orange,63,2022-08-16
9495,2022-08-25,Grapes,53,2022-10-16
8584,2022-10-13,Banana,89,2023-01-03
1223,2022-07-02,Apple,53,2022-10-04
7383,2022-01-25,Grapes,85,2022-03-22
4175,2022-05-01,Banana,56,2022-07-19
8435,2022-06-14,Banana,96,2022-09-13
3354,2022-01-10,Orange,99,2022-03-19
9312,2022-05-21,Orange,70,2022-07-19
9613,2022-11-23,Apple,68,2023-03-01
7464,2022-03-11,Apple,72,2022-05-19
8608,2022-06-03,Orange,62,2022-09-02
6766,2022-06-14,Apple,59,2022-09-05
7222,2022-02-24,Apple,84,2022-04-25
4186,2022-02-10,Grapes,82,2022-04-27
3326,2022-09-19,Orange,66,2022-12-04
2644,2022-06-13,Orange,87,2022-09-14
9692,2022-08-21,Apple,98,2022-11-22
6780,2022-01-21,Banana,97,2022-04-11
8985,2022-05-26,Banana,77,2022-07-28
9948,2022-08-17,Orange,57,2022-10-29
5675,2022-10-06,Grapes,71,2022-12-26
1405,2022-06-06,Orange,93,2022-08-06
3766,2022-08-05,Grapes,63,2022-10-20
5592,2022-05-19,Banana,98,2022-08-19
2597,2022-05-19,Grapes,73,2022-08-22
1350,2022-04-13,Banana,74,2022-07-19
8297,2022-02-04,Grapes,86,2022-04-29
2687,2022-11-03,Apple,74,2022-12-23
7976,2022-10-21,Banana,93,2022-12-10
6733,2022-09-15,Banana,74,2022-12-03
5654,2022-10-19,Grapes,54,2023-01-02
3444,2022-06-01,Banana,71,2022-08-11
1580,2022-05-25,Banana,58,2022-07-19
3031,2022-12-08,Banana,54,2023-02-21
